# All data here refers to Q = 0.0000 0.0000 - Columns: iw - Rows: nu
-11 	0.01427378 	0.01576880 	0.01761287 	0.01994400 	0.02298373 	0.02711118 	0.03303235 	0.04222447 	0.05835998 	0.09359567 	0.22670565 	-0.23342580 	-0.09524903 	-0.05903901 	-0.04258561 	-0.03325477 	-0.02726146 	-0.02309190 	-0.02002552 	-0.01767647 	-0.01581980 	-0.01431558 	-0.01307227 	-0.01202745 	-0.01113716 	-0.01036949 	-0.00970076 	-0.00911301 	-0.00859237 	-0.00812798 	-0.00771120 	-0.00733506 	
-10 	0.01742013 	0.01945693 	0.02203160 	0.02538870 	0.02994677 	0.03648504 	0.04663375 	0.06444443 	0.10332403 	0.25014309 	-0.25834527 	-0.10534156 	-0.06527299 	-0.04707441 	-0.03675645 	-0.03013015 	-0.02552069 	-0.02213106 	-0.01953455 	-0.01748236 	-0.01581980 	-0.01444565 	-0.01329092 	-0.01230698 	-0.01145858 	-0.01071954 	-0.01007000 	-0.00949464 	-0.00898144 	-0.00852085 	-0.00810519 	-0.00772817 	
-9 	0.02173137 	0.02460626 	0.02835459 	0.03344339 	0.04074207 	0.05206911 	0.07194235 	0.11530504 	0.27897886 	-0.28921218 	-0.11782140 	-0.07297571 	-0.05261869 	-0.04108056 	-0.03367208 	-0.02851920 	-0.02473032 	-0.02182817 	-0.01953455 	-0.01767647 	-0.01614078 	-0.01485034 	-0.01375080 	-0.01280274 	-0.01197689 	-0.01125107 	-0.01060816 	-0.01003471 	-0.00952006 	-0.00905560 	-0.00863434 	-0.00825052 	
-8 	0.02786044 	0.03210292 	0.03786194 	0.04612068 	0.05893483 	0.08140958 	0.13042151 	0.31531781 	-0.32843948 	-0.13364670 	-0.08273391 	-0.05963914 	-0.04655445 	-0.03815502 	-0.03231388 	-0.02801942 	-0.02473032 	-0.02213106 	-0.02002552 	-0.01828536 	-0.01682317 	-0.01557732 	-0.01450314 	-0.01356746 	-0.01274513 	-0.01201673 	-0.01136706 	-0.01078400 	-0.01025781 	-0.00978057 	-0.00934575 	-0.00894793 	
-7 	0.03698911 	0.04362098 	0.05312957 	0.06787881 	0.09373624 	0.15008523 	0.36252029 	-0.37994554 	-0.15436540 	-0.09549356 	-0.06881335 	-0.05370512 	-0.04400985 	-0.03726902 	-0.03231388 	-0.02851920 	-0.02552069 	-0.02309190 	-0.02108471 	-0.01939823 	-0.01796134 	-0.01672248 	-0.01564339 	-0.01469504 	-0.01385505 	-0.01310585 	-0.01243349 	-0.01182673 	-0.01127641 	-0.01077501 	-0.01031629 	-0.00989502 	
-6 	0.05143607 	0.06263816 	0.08000824 	0.11044133 	0.17670129 	0.42630015 	-0.45053996 	-0.18264917 	-0.11288287 	-0.08130605 	-0.06343773 	-0.05197628 	-0.04400985 	-0.03815502 	-0.03367208 	-0.03013015 	-0.02726146 	-0.02489094 	-0.02289930 	-0.02120252 	-0.01973966 	-0.01846551 	-0.01734578 	-0.01635402 	-0.01546948 	-0.01467568 	-0.01395934 	-0.01330965 	-0.01271773 	-0.01217620 	-0.01167889 	-0.01122061 	
-5 	0.07626270 	0.09737727 	0.13434291 	0.21472234 	0.51721565 	-0.55317558 	-0.22353039 	-0.13795731 	-0.09929908 	-0.07744615 	-0.06343773 	-0.05370512 	-0.04655445 	-0.04108056 	-0.03675645 	-0.03325477 	-0.03036151 	-0.02793093 	-0.02586034 	-0.02407535 	-0.02252071 	-0.02115455 	-0.01994458 	-0.01886548 	-0.01789710 	-0.01702325 	-0.01623073 	-0.01550870 	-0.01484815 	-0.01424156 	-0.01368257 	-0.01316580 	
-4 	0.12427460 	0.17130855 	0.27339487 	0.65716177 	-0.71581380 	-0.28771192 	-0.17717974 	-0.12739570 	-0.09929908 	-0.08130605 	-0.06881335 	-0.05963914 	-0.05261869 	-0.04707441 	-0.04258561 	-0.03887743 	-0.03576269 	-0.03310961 	-0.03082271 	-0.02883112 	-0.02708115 	-0.02553134 	-0.02414924 	-0.02290903 	-0.02178994 	-0.02077506 	-0.01985048 	-0.01900466 	-0.01822796 	-0.01751224 	-0.01685059 	-0.01623710 	
-3 	0.23582758 	0.37548119 	0.90008838 	-1.01152125 	-0.40246704 	-0.24687739 	-0.17717974 	-0.13795731 	-0.11288287 	-0.09549356 	-0.08273391 	-0.07297571 	-0.06527299 	-0.05903901 	-0.05389070 	-0.04956742 	-0.04588573 	-0.04271277 	-0.03994997 	-0.03752268 	-0.03537331 	-0.03345673 	-0.03173708 	-0.03018551 	-0.02877852 	-0.02749681 	-0.02632437 	-0.02524781 	-0.02425581 	-0.02333881 	-0.02248860 	-0.02169814 	
-2 	0.59556981 	1.42469556 	-1.70502248 	-0.66178312 	-0.40246704 	-0.28771192 	-0.22353039 	-0.18264917 	-0.15436540 	-0.13364670 	-0.11782140 	-0.10534156 	-0.09524903 	-0.08691930 	-0.07992804 	-0.07397686 	-0.06884989 	-0.06438710 	-0.06046734 	-0.05699723 	-0.05390363 	-0.05112843 	-0.04862490 	-0.04635503 	-0.04428756 	-0.04239660 	-0.04066046 	-0.03906089 	-0.03758238 	-0.03621169 	-0.03493745 	-0.03374983 	
